period,year,quarter,avg_rent,annual_rent,median_income,rent_to_income_ratio
2019-01-01,2019,Q1 2019,1730.0,20760.0,43300.0,0.479445727482679
2019-04-01,2019,Q2 2019,1680.0,20160.0,43300.0,0.46558891454965357
2019-07-01,2019,Q3 2019,1640.0,19680.0,43300.0,0.45450346420323323
2019-10-01,2019,Q4 2019,1670.0,20040.0,43300.0,0.4628175519630485
2020-01-01,2020,Q1 2020,1650.0,19800.0,45800.0,0.43231441048034935
2020-04-01,2020,Q2 2020,1620.0,19440.0,45800.0,0.4244541484716157
2020-07-01,2020,Q3 2020,1600.0,19200.0,45800.0,0.4192139737991266
2020-10-01,2020,Q4 2020,1580.0,18960.0,45800.0,0.41397379912663756
2021-01-01,2021,Q1 2021,1610.0,19320.0,44800.0,0.43125
2021-04-01,2021,Q2 2021,1630.0,19560.0,44800.0,0.43660714285714286
2021-07-01,2021,Q3 2021,1690.0,20280.0,44800.0,0.45267857142857143
2021-10-01,2021,Q4 2021,1710.0,20520.0,44800.0,0.45803571428571427
2022-01-01,2022,Q1 2022,1760.0,21120.0,45900.0,0.46013071895424834
2022-04-01,2022,Q2 2022,1870.0,22440.0,45900.0,0.4888888888888889
2022-07-01,2022,Q3 2022,2020.0,24240.0,45900.0,0.5281045751633987
2022-10-01,2022,Q4 2022,2150.0,25800.0,45900.0,0.5620915032679739
2023-01-01,2023,Q1 2023,2120.0,25440.0,46300.0,0.5494600431965443
2023-04-01,2023,Q2 2023,2190.0,26280.0,46300.0,0.5676025917926566
2023-07-01,2023,Q3 2023,2340.0,28080.0,46300.0,0.6064794816414687
2023-10-01,2023,Q4 2023,2280.0,27360.0,46300.0,0.5909287257019439
2024-01-01,2024,Q1 2024,2230.0,26760.0,,
2024-04-01,2024,Q2 2024,2230.0,26760.0,,
2024-07-01,2024,Q3 2024,2200.0,26400.0,,
2024-10-01,2024,Q4 2024,2150.0,25800.0,,
2025-01-01,2025,Q1 2025,2120.0,25440.0,,
2025-04-01,2025,Q2 2025,,,,
2025-07-01,2025,Q3 2025,2100.0,25200.0,,
