Geography,Rental unit type,quarter,avg_rent
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q1 2019,1730.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q2 2019,1680.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q3 2019,1640.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q4 2019,1670.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q1 2020,1650.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q2 2020,1620.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q3 2020,1600.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q4 2020,1580.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q1 2021,1610.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q2 2021,1630.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q3 2021,1690.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q4 2021,1710.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q1 2022,1760.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q2 2022,1870.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q3 2022,2020.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q4 2022,2150.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q1 2023,2120.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q2 2023,2190.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q3 2023,2340.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q4 2023,2280.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q1 2024,2230.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q2 2024,2230.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q3 2024,2200.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q4 2024,2150.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q1 2025,2120.0
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q2 2025,
"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,Q3 2025,2100.0
