quarter,geography,rental_unit_type,avg_rent
2019-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1730.0
2019-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1870.0
2019-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2490.0
2019-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3480.0
2019-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,770.0
2019-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1680.0
2019-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1900.0
2019-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2580.0
2019-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3670.0
2019-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,770.0
2019-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1640.0
2019-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1870.0
2019-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2500.0
2019-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3670.0
2019-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,770.0
2019-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1670.0
2019-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1890.0
2019-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2490.0
2019-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3500.0
2019-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,750.0
2020-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1650.0
2020-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1910.0
2020-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2530.0
2020-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3400.0
2020-03-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,760.0
2020-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1620.0
2020-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1870.0
2020-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2480.0
2020-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3150.0
2020-06-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,760.0
2020-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1600.0
2020-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1850.0
2020-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2430.0
2020-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3150.0
2020-09-30 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Room,760.0
2020-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - No bedroom,1580.0
2020-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 1 bedroom,1810.0
2020-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 2 bedrooms,2380.0
2020-12-31 23:59:59.999999999,"Vancouver, Census metropolitan area (CMA)",Apartment - 3 or more bedrooms,3220.0
